,Order Number,Line Item,Order Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,Total Cost USD,Total Price USD
70,2169002,1,2020-12-08,1626990,59,1106,4,USD,592.32,1288.0
71,2194020,2,2021-01-02,1827725,55,1106,1,USD,148.08,322.0
72,366002,2,2016-01-01,266019,0,373,1,CAD,166.2,326.0
73,414001,2,2016-02-18,858760,31,373,1,EUR,166.2,326.0
74,518009,1,2016-06-01,1456247,47,373,5,USD,831.0,1630.0
75,731009,1,2016-12-31,1102842,40,373,5,GBP,831.0,1630.0
76,1118001,4,2018-01-22,1164098,0,373,2,GBP,332.4,652.0
77,1141013,4,2018-02-14,1016110,37,373,4,GBP,664.8,1304.0
78,1167008,1,2018-03-12,254779,0,373,1,CAD,166.2,326.0
79,1323023,1,2018-08-15,1998305,57,373,4,USD,664.8,1304.0
80,1382022,4,2018-10-13,820848,0,373,2,EUR,332.4,652.0
81,1420016,1,2018-11-20,1253166,0,373,3,USD,498.59999999999997,978.0
82,1473013,3,2019-01-12,668660,15,373,7,EUR,1163.3999999999999,2282.0
83,1478026,1,2019-01-17,1458780,0,373,1,USD,166.2,326.0
84,1513016,7,2019-02-21,874406,31,373,4,EUR,664.8,1304.0
85,1519044,1,2019-02-27,1489075,0,373,6,USD,997.1999999999999,1956.0
86,1525009,2,2019-03-05,374045,8,373,3,CAD,498.59999999999997,978.0
87,1532020,2,2019-03-12,1737921,45,373,2,USD,332.4,652.0
88,1609019,1,2019-05-28,520709,22,373,5,EUR,831.0,1630.0
89,1671001,2,2019-07-29,60722,4,373,7,AUD,1163.3999999999999,2282.0
90,1701026,2,2019-08-28,1741571,61,373,3,USD,498.59999999999997,978.0
91,1746047,1,2019-10-12,383902,9,373,1,CAD,166.2,326.0
92,1756008,1,2019-10-22,832813,33,373,3,EUR,498.59999999999997,978.0
93,1758017,5,2019-10-24,1650383,56,373,4,USD,664.8,1304.0
94,1818038,1,2019-12-23,1278507,59,373,2,USD,332.4,652.0
95,1870051,2,2020-02-13,1883755,0,373,1,USD,166.2,326.0
96,1896020,1,2020-03-10,302645,10,373,1,CAD,166.2,326.0
97,2026003,4,2020-07-18,1623146,45,373,3,USD,498.59999999999997,978.0
98,2103007,3,2020-10-03,2099252,48,373,1,USD,166.2,326.0
99,366002,3,2016-01-01,266019,0,1080,4,CAD,856.12,2584.0
100,484008,2,2016-04-28,1430718,0,1080,3,USD,642.09,1938.0
101,673003,3,2016-11-03,1870208,47,1080,4,USD,856.12,2584.0
102,682010,3,2016-11-12,1276079,50,1080,1,USD,214.03,646.0
103,1114016,1,2018-01-18,546471,22,1080,2,EUR,428.06,1292.0
104,1154003,3,2018-02-27,1585758,51,1080,5,USD,1070.15,3230.0
105,1235023,2,2018-05-19,1011663,36,1080,6,GBP,1284.18,3876.0
106,1295006,1,2018-07-18,1415483,62,1080,3,USD,642.09,1938.0
107,1458013,1,2018-12-28,1718194,0,1080,1,USD,214.03,646.0
108,1591021,2,2019-05-10,1889240,66,1080,1,USD,214.03,646.0
109,1631028,1,2019-06-19,708914,29,1080,2,EUR,428.06,1292.0
110,1671002,1,2019-07-29,1231909,55,1080,5,USD,1070.15,3230.0
111,1737027,2,2019-10-03,1280832,48,1080,3,USD,642.09,1938.0
112,1806006,1,2019-12-11,1722880,65,1080,2,USD,428.06,1292.0
113,1822021,3,2019-12-27,2038522,54,1080,5,USD,1070.15,3230.0
114,1834015,2,2020-01-08,622276,16,1080,1,EUR,214.03,646.0
115,1876041,2,2020-02-19,1731694,51,1080,2,USD,428.06,1292.0
116,2173008,5,2020-12-12,1242463,47,1080,1,USD,214.03,646.0
117,366004,1,2016-01-01,1107461,38,163,6,GBP,3165.18,9553.2
118,528005,3,2016-06-11,746112,29,163,1,EUR,527.53,1592.2
119,561012,1,2016-07-14,935197,0,163,6,GBP,3165.18,9553.2
120,721012,2,2016-12-21,806791,32,163,9,EUR,4747.7699999999995,14329.800000000001
121,874006,1,2017-05-23,680858,15,163,6,EUR,3165.18,9553.2
122,941006,1,2017-07-29,1076700,36,163,1,GBP,527.53,1592.2
123,1059006,3,2017-11-24,2037884,45,163,3,USD,1582.59,4776.6
124,1078013,2,2017-12-13,1367542,54,163,6,USD,3165.18,9553.2
125,1099019,3,2018-01-03,1097057,37,163,1,GBP,527.53,1592.2
126,1142000,3,2018-02-15,1871500,56,163,1,USD,527.53,1592.2
127,1151035,1,2018-02-24,1311674,0,163,1,USD,527.53,1592.2
128,1156000,1,2018-03-01,1978029,47,163,4,USD,2110.12,6368.8
129,1273000,1,2018-06-26,2062344,0,163,3,USD,1582.59,4776.6
130,1285001,1,2018-07-08,1607034,0,163,2,USD,1055.06,3184.4
131,1291006,3,2018-07-14,1593111,55,163,4,USD,2110.12,6368.8
132,1296001,2,2018-07-19,1410305,44,163,1,USD,527.53,1592.2
133,1298021,1,2018-07-21,363584,10,163,8,CAD,4220.24,12737.6
134,1347018,2,2018-09-08,226220,9,163,2,CAD,1055.06,3184.4
135,1378017,1,2018-10-09,1199675,42,163,3,GBP,1582.59,4776.6
136,1382032,1,2018-10-13,1484963,56,163,4,USD,2110.12,6368.8
137,1505013,2,2019-02-13,1187717,37,163,2,GBP,1055.06,3184.4
138,1506050,4,2019-02-14,391900,10,163,4,CAD,2110.12,6368.8
139,1591025,3,2019-05-10,1160758,38,163,1,GBP,527.53,1592.2
140,1655005,3,2019-07-13,1309256,66,163,1,USD,527.53,1592.2
141,1709025,1,2019-09-05,1986204,50,163,1,USD,527.53,1592.2
142,1751012,2,2019-10-17,1261460,53,163,3,USD,1582.59,4776.6
143,1771019,1,2019-11-06,1421877,47,163,6,USD,3165.18,9553.2
144,1821053,1,2019-12-26,1078235,40,163,1,GBP,527.53,1592.2
145,1829033,1,2020-01-03,1564826,45,163,3,USD,1582.59,4776.6
146,1832001,2,2020-01-06,1355953,51,163,1,USD,527.53,1592.2
147,1840012,2,2020-01-14,785565,0,163,4,EUR,2110.12,6368.8
148,1945011,4,2020-04-28,1437052,45,163,2,USD,1055.06,3184.4
149,1949003,3,2020-05-02,1557502,54,163,1,USD,527.53,1592.2
150,1967018,2,2020-05-20,1352665,57,163,1,USD,527.53,1592.2
151,1970002,4,2020-05-23,410798,21,163,4,EUR,2110.12,6368.8
152,1991005,1,2020-06-13,1486980,54,163,4,USD,2110.12,6368.8
153,2098003,2,2020-09-28,417275,19,163,3,EUR,1582.59,4776.6
154,2185007,2,2020-12-24,76891,6,163,5,AUD,2637.6499999999996,7961.0
155,366004,2,2016-01-01,1107461,38,1529,2,GBP,234.54,510.0
156,370003,2,2016-01-05,2092033,66,1529,3,USD,351.81,765.0
157,387007,2,2016-01-22,549936,24,1529,3,EUR,351.81,765.0
158,631004,2,2016-09-22,920551,0,1529,1,GBP,117.27,255.0
159,730010,4,2016-12-30,923402,42,1529,3,GBP,351.81,765.0
160,850004,2,2017-04-29,1541000,50,1529,1,USD,117.27,255.0
161,875005,4,2017-05-24,303506,8,1529,4,CAD,469.08,1020.0
162,960010,1,2017-08-17,509357,23,1529,1,EUR,117.27,255.0
163,980009,1,2017-09-06,1960256,59,1529,1,USD,117.27,255.0
164,1051001,1,2017-11-16,1606675,56,1529,1,USD,117.27,255.0
165,1086007,3,2017-12-21,1057356,36,1529,3,GBP,351.81,765.0
166,1093002,1,2017-12-28,981407,0,1529,7,GBP,820.89,1785.0
167,1100033,1,2018-01-04,2096104,54,1529,1,USD,117.27,255.0
168,1282002,1,2018-07-05,780834,0,1529,1,EUR,117.27,255.0
169,1319001,1,2018-08-11,1880655,59,1529,1,USD,117.27,255.0
170,1454008,1,2018-12-24,1721961,45,1529,6,USD,703.62,1530.0
171,1482007,4,2019-01-21,1525193,57,1529,2,USD,234.54,510.0
172,1590015,5,2019-05-09,1920064,51,1529,7,USD,820.89,1785.0
173,1611009,1,2019-05-30,1774947,65,1529,1,USD,117.27,255.0
174,1662012,4,2019-07-20,595540,21,1529,4,EUR,469.08,1020.0
175,1729012,1,2019-09-25,1221391,44,1529,2,USD,234.54,510.0
176,1759027,1,2019-10-25,927628,39,1529,3,GBP,351.81,765.0
177,1787023,2,2019-11-22,1400159,47,1529,2,USD,234.54,510.0
178,1806010,1,2019-12-11,1961950,51,1529,7,USD,820.89,1785.0
179,1808008,2,2019-12-13,1955888,0,1529,2,USD,234.54,510.0
180,1823096,4,2019-12-28,779320,29,1529,1,EUR,117.27,255.0
181,1848034,1,2020-01-22,1450286,45,1529,4,USD,469.08,1020.0
182,1854010,3,2020-01-28,1458743,55,1529,4,USD,469.08,1020.0
183,1870033,3,2020-02-13,1846024,0,1529,5,USD,586.35,1275.0
184,1872018,4,2020-02-15,690042,0,1529,6,EUR,703.62,1530.0
185,1875024,1,2020-02-18,1268661,57,1529,2,USD,234.54,510.0
186,1881005,1,2020-02-24,858132,31,1529,2,EUR,234.54,510.0
187,1947011,3,2020-04-30,1669695,61,1529,1,USD,117.27,255.0
188,1987002,2,2020-06-09,1146329,37,1529,3,GBP,351.81,765.0
189,366005,1,2016-01-01,844003,33,421,4,EUR,862.72,1876.0
190,411010,2,2016-02-15,1942072,59,421,1,USD,215.68,469.0
191,415011,1,2016-02-19,450041,23,421,2,EUR,431.36,938.0
192,437003,3,2016-03-12,1722271,48,421,1,USD,215.68,469.0
193,526002,5,2016-06-09,1172620,37,421,3,GBP,647.04,1407.0
194,622003,5,2016-09-13,1751091,56,421,1,USD,215.68,469.0
195,632001,3,2016-09-23,1845648,51,421,10,USD,2156.8,4690.0
196,666011,3,2016-10-27,1756350,47,421,1,USD,215.68,469.0
197,694012,1,2016-11-24,1147519,40,421,2,GBP,431.36,938.0
198,703008,1,2016-12-03,1208615,0,421,2,USD,431.36,938.0
199,710006,2,2016-12-10,2010506,51,421,1,USD,215.68,469.0
200,724018,2,2016-12-24,535496,23,421,7,EUR,1509.76,3283.0
201,724036,5,2016-12-24,482108,0,421,1,EUR,215.68,469.0
202,726004,2,2016-12-26,1649724,55,421,7,USD,1509.76,3283.0
203,728025,1,2016-12-28,1561764,63,421,2,USD,431.36,938.0
204,731020,2,2016-12-31,910032,40,421,3,GBP,647.04,1407.0
205,735022,2,2017-01-04,1542332,48,421,1,USD,215.68,469.0
206,745015,1,2017-01-14,1239387,66,421,10,USD,2156.8,4690.0
207,751008,1,2017-01-20,1016078,37,421,8,GBP,1725.44,3752.0
208,791006,2,2017-03-01,1423539,54,421,6,USD,1294.08,2814.0
209,799002,2,2017-03-09,244921,8,421,3,CAD,647.04,1407.0
210,856002,3,2017-05-05,2079366,54,421,4,USD,862.72,1876.0
211,905002,1,2017-06-23,1096834,39,421,2,GBP,431.36,938.0
212,926002,2,2017-07-14,1189396,39,421,6,GBP,1294.08,2814.0
213,939002,1,2017-07-27,764628,0,421,2,EUR,431.36,938.0
214,958003,1,2017-08-15,59422,0,421,1,AUD,215.68,469.0
215,964001,2,2017-08-21,618556,15,421,3,EUR,647.04,1407.0
216,967013,2,2017-08-24,920661,42,421,3,GBP,647.04,1407.0
217,973001,2,2017-08-30,771697,29,421,3,EUR,647.04,1407.0
218,1007006,1,2017-10-03,1777880,0,421,10,USD,2156.8,4690.0
219,1011004,1,2017-10-07,1867076,0,421,1,USD,215.68,469.0
220,1045001,6,2017-11-10,1374605,0,421,6,USD,1294.08,2814.0
221,1058006,3,2017-11-23,213806,0,421,3,CAD,647.04,1407.0
222,1065013,3,2017-11-30,1976526,64,421,1,USD,215.68,469.0
223,1078010,1,2017-12-13,2093175,0,421,1,USD,215.68,469.0
224,1090008,2,2017-12-25,1365154,53,421,2,USD,431.36,938.0
225,1099012,1,2018-01-03,1792550,0,421,6,USD,1294.08,2814.0
226,1102003,1,2018-01-06,1669021,64,421,2,USD,431.36,938.0
227,1106004,2,2018-01-10,1144584,40,421,1,GBP,215.68,469.0
228,1116017,4,2018-01-20,1980538,66,421,6,USD,1294.08,2814.0
229,1149018,6,2018-02-22,1957841,57,421,1,USD,215.68,469.0
230,1156020,3,2018-03-01,1865927,0,421,4,USD,862.72,1876.0
231,1162008,1,2018-03-07,910064,42,421,1,GBP,215.68,469.0
232,1165021,3,2018-03-10,738133,30,421,10,EUR,2156.8,4690.0
233,1218018,4,2018-05-02,1559760,0,421,1,USD,215.68,469.0
234,1231011,5,2018-05-15,1996019,57,421,3,USD,647.04,1407.0
235,1234000,1,2018-05-18,1241140,51,421,3,USD,647.04,1407.0
236,1281006,1,2018-07-04,1227087,54,421,7,USD,1509.76,3283.0
237,1284007,1,2018-07-07,1440047,51,421,4,USD,862.72,1876.0
238,1345010,1,2018-09-06,953917,39,421,1,GBP,215.68,469.0
239,1352000,4,2018-09-13,452924,0,421,4,EUR,862.72,1876.0
240,1370005,3,2018-10-01,2029379,54,421,2,USD,431.36,938.0
241,1388002,1,2018-10-19,1234917,45,421,1,USD,215.68,469.0
242,1417008,5,2018-11-17,937800,0,421,2,GBP,431.36,938.0
243,1433008,2,2018-12-03,361691,9,421,1,CAD,215.68,469.0
244,1437002,1,2018-12-07,1824381,47,421,1,USD,215.68,469.0
245,1440004,1,2018-12-10,738388,30,421,2,EUR,431.36,938.0
246,1442008,3,2018-12-12,1997104,55,421,2,USD,431.36,938.0
247,1442023,1,2018-12-12,1006445,36,421,1,GBP,215.68,469.0
248,1449005,1,2018-12-19,1339651,47,421,1,USD,215.68,469.0
249,1452075,3,2018-12-22,211746,10,421,2,CAD,431.36,938.0
250,1452084,1,2018-12-22,238385,9,421,3,CAD,647.04,1407.0
251,1456012,3,2018-12-26,418689,0,421,7,EUR,1509.76,3283.0
252,1456015,1,2018-12-26,415350,21,421,1,EUR,215.68,469.0
253,1457040,1,2018-12-27,1514787,57,421,2,USD,431.36,938.0
254,1457041,2,2018-12-27,355288,8,421,6,CAD,1294.08,2814.0
255,1458035,2,2018-12-28,1354140,0,421,8,USD,1725.44,3752.0
256,1464017,2,2019-01-03,1369363,44,421,6,USD,1294.08,2814.0
257,1486013,1,2019-01-25,2040812,56,421,7,USD,1509.76,3283.0
258,1497016,2,2019-02-05,1190713,37,421,2,GBP,431.36,938.0
259,1499005,2,2019-02-07,1480971,64,421,3,USD,647.04,1407.0
260,1506012,2,2019-02-14,1425577,53,421,1,USD,215.68,469.0
261,1506039,1,2019-02-14,639067,15,421,8,EUR,1725.44,3752.0
262,1511045,1,2019-02-19,343061,8,421,1,CAD,215.68,469.0
263,1513038,4,2019-02-21,1467036,44,421,3,USD,647.04,1407.0
264,1513044,1,2019-02-21,1858660,0,421,10,USD,2156.8,4690.0
265,1519019,1,2019-02-27,786030,29,421,4,EUR,862.72,1876.0
266,1529010,3,2019-03-09,1650975,55,421,10,USD,2156.8,4690.0
267,1585023,1,2019-05-04,557814,19,421,1,EUR,215.68,469.0
268,1594013,1,2019-05-13,1706433,0,421,1,USD,215.68,469.0
269,1597026,1,2019-05-16,1579735,45,421,4,USD,862.72,1876.0
270,1603008,4,2019-05-22,1692156,49,421,1,USD,215.68,469.0
271,1603034,4,2019-05-22,1678823,57,421,4,USD,862.72,1876.0
272,1603036,2,2019-05-22,647743,13,421,7,EUR,1509.76,3283.0
273,1621000,2,2019-06-09,930053,39,421,1,GBP,215.68,469.0
274,1627002,3,2019-06-15,406121,0,421,8,EUR,1725.44,3752.0
275,1630021,4,2019-06-18,857426,32,421,6,EUR,1294.08,2814.0
276,1632014,2,2019-06-20,122533,0,421,1,AUD,215.68,469.0
277,1633005,3,2019-06-21,1827243,0,421,2,USD,431.36,938.0
278,1638006,2,2019-06-26,1227891,55,421,2,USD,431.36,938.0
279,1657001,1,2019-07-15,2015036,43,421,2,USD,431.36,938.0
280,1658017,4,2019-07-16,285552,10,421,1,CAD,215.68,469.0
281,1660011,1,2019-07-18,848337,0,421,2,EUR,431.36,938.0
282,1667013,1,2019-07-25,1263104,0,421,1,USD,215.68,469.0
283,1669015,1,2019-07-27,1277723,0,421,8,USD,1725.44,3752.0
284,1672004,2,2019-07-30,1318857,65,421,4,USD,862.72,1876.0
285,1675005,1,2019-08-02,935211,42,421,6,GBP,1294.08,2814.0
286,1687021,2,2019-08-14,86475,5,421,10,AUD,2156.8,4690.0
287,1688020,3,2019-08-15,1137406,36,421,1,GBP,215.68,469.0
288,1700007,1,2019-08-27,183169,5,421,3,AUD,647.04,1407.0
289,1710025,2,2019-09-06,1923526,0,421,1,USD,215.68,469.0
290,1718003,1,2019-09-14,1027565,38,421,1,GBP,215.68,469.0
291,1736002,4,2019-10-02,2042291,59,421,2,USD,431.36,938.0
292,1742019,2,2019-10-08,533705,24,421,2,EUR,431.36,938.0
293,1744019,1,2019-10-10,1482570,45,421,3,USD,647.04,1407.0
294,1752011,1,2019-10-18,1693753,45,421,2,USD,431.36,938.0
295,1763010,2,2019-10-29,1227963,0,421,1,USD,215.68,469.0
296,1785033,1,2019-11-20,704565,30,421,1,EUR,215.68,469.0
297,1802014,5,2019-12-07,231898,9,421,2,CAD,431.36,938.0
298,1809010,1,2019-12-14,1877744,45,421,3,USD,647.04,1407.0
299,1813036,1,2019-12-18,1567347,51,421,2,USD,431.36,938.0
300,1813055,4,2019-12-18,1996959,65,421,1,USD,215.68,469.0
301,1816093,4,2019-12-21,1977775,61,421,3,USD,647.04,1407.0
302,1818005,3,2019-12-23,2090623,48,421,1,USD,215.68,469.0
303,1822010,4,2019-12-27,1076923,36,421,2,GBP,431.36,938.0
304,1823005,3,2019-12-28,1490471,44,421,2,USD,431.36,938.0
305,1823035,4,2019-12-28,1526098,66,421,2,USD,431.36,938.0
306,1823092,2,2019-12-28,76013,1,421,1,AUD,215.68,469.0
307,1825032,3,2019-12-30,1036986,37,421,4,GBP,862.72,1876.0
308,1830071,3,2020-01-04,1147136,37,421,10,GBP,2156.8,4690.0
309,1836016,2,2020-01-10,1575457,59,421,1,USD,215.68,469.0
310,1841000,3,2020-01-15,1413890,59,421,1,USD,215.68,469.0
311,1858019,1,2020-02-01,1742626,66,421,2,USD,431.36,938.0
312,1878036,2,2020-02-21,213985,10,421,1,CAD,215.68,469.0
313,1879047,1,2020-02-22,1386844,51,421,1,USD,215.68,469.0
314,1879065,1,2020-02-22,1929451,44,421,3,USD,647.04,1407.0
315,1879081,1,2020-02-22,1761592,47,421,1,USD,215.68,469.0
316,1882014,1,2020-02-25,1686021,44,421,4,USD,862.72,1876.0
317,1882041,1,2020-02-25,1702622,0,421,6,USD,1294.08,2814.0
318,1885030,2,2020-02-28,1956984,53,421,1,USD,215.68,469.0
319,1898015,3,2020-03-12,817781,32,421,5,EUR,1078.4,2345.0
320,1946019,4,2020-04-29,932027,39,421,6,GBP,1294.08,2814.0
321,1956014,3,2020-05-09,792279,0,421,1,EUR,215.68,469.0
322,1969009,3,2020-05-22,646010,16,421,2,EUR,431.36,938.0
323,1976003,3,2020-05-29,1854563,64,421,2,USD,431.36,938.0
324,1984013,2,2020-06-06,1394970,45,421,2,USD,431.36,938.0
325,1984020,1,2020-06-06,1378439,0,421,1,USD,215.68,469.0
326,1989008,4,2020-06-11,1353398,48,421,3,USD,647.04,1407.0
327,2000006,7,2020-06-22,1094276,38,421,2,GBP,431.36,938.0
328,2044003,3,2020-08-05,1942015,0,421,1,USD,215.68,469.0
329,2113000,1,2020-10-13,985427,39,421,2,GBP,431.36,938.0
330,2172002,2,2020-12-11,780974,29,421,3,EUR,647.04,1407.0
331,2178006,2,2020-12-17,1871500,57,421,2,USD,431.36,938.0
332,2194020,4,2021-01-02,1827725,55,421,7,USD,1509.76,3283.0
333,2221005,1,2021-01-29,1667754,0,421,7,USD,1509.76,3283.0
334,366007,1,2016-01-01,2035771,43,1617,1,USD,26.67,57.99
335,390001,2,2016-01-25,1301552,51,1617,7,USD,186.69,405.93
336,421009,3,2016-02-25,1886071,44,1617,10,USD,266.70000000000005,579.9
337,426006,2,2016-03-01,774742,30,1617,2,EUR,53.34,115.98
338,512007,1,2016-05-26,1070054,38,1617,2,GBP,53.34,115.98
339,551002,2,2016-07-04,418893,24,1617,2,EUR,53.34,115.98
340,575005,3,2016-07-28,979954,40,1617,1,GBP,26.67,57.99
341,587002,1,2016-08-09,206055,0,1617,1,CAD,26.67,57.99
342,645002,3,2016-10-06,1866637,0,1617,5,USD,133.35000000000002,289.95
343,673000,3,2016-11-03,1702256,64,1617,2,USD,53.34,115.98
344,673003,1,2016-11-03,1870208,47,1617,1,USD,26.67,57.99
345,675012,2,2016-11-05,205476,10,1617,2,CAD,53.34,115.98
346,682013,1,2016-11-12,1151790,37,1617,3,GBP,80.01,173.97
347,687006,2,2016-11-17,1325805,61,1617,3,USD,80.01,173.97
348,766009,3,2017-02-04,1411409,43,1617,10,USD,266.70000000000005,579.9
349,786015,1,2017-02-24,1188481,39,1617,1,GBP,26.67,57.99
350,848005,1,2017-04-27,2023998,0,1617,6,USD,160.02,347.94
351,917002,3,2017-07-05,954784,0,1617,2,GBP,53.34,115.98
352,997008,1,2017-09-23,1407578,54,1617,8,USD,213.36,463.92
353,999004,1,2017-09-25,2088314,0,1617,1,USD,26.67,57.99
354,1001002,2,2017-09-27,351430,10,1617,6,CAD,160.02,347.94
355,1002005,1,2017-09-28,1541239,44,1617,2,USD,53.34,115.98
356,1006006,3,2017-10-02,1304549,44,1617,7,USD,186.69,405.93
357,1015002,4,2017-10-11,1456404,53,1617,6,USD,160.02,347.94
358,1022008,1,2017-10-18,1583892,63,1617,5,USD,133.35000000000002,289.95
359,1053001,4,2017-11-18,999176,41,1617,4,GBP,106.68,231.96
360,1080003,3,2017-12-15,931892,0,1617,1,GBP,26.67,57.99
361,1084017,1,2017-12-19,2038771,0,1617,6,USD,160.02,347.94
362,1114014,2,2018-01-18,590960,22,1617,8,EUR,213.36,463.92
363,1139012,1,2018-02-12,539097,22,1617,2,EUR,53.34,115.98
364,1148032,3,2018-02-21,1682386,51,1617,2,USD,53.34,115.98
365,1213006,2,2018-04-27,678808,15,1617,1,EUR,26.67,57.99
366,1237001,1,2018-05-21,1968385,0,1617,10,USD,266.70000000000005,579.9
367,1258002,3,2018-06-11,1401445,0,1617,1,USD,26.67,57.99
368,1276002,4,2018-06-29,1490044,50,1617,2,USD,53.34,115.98
369,1284017,1,2018-07-07,1037661,0,1617,1,GBP,26.67,57.99
370,1291004,1,2018-07-14,1229631,66,1617,1,USD,26.67,57.99
371,1296016,1,2018-07-19,284716,0,1617,1,CAD,26.67,57.99
372,1298011,6,2018-07-21,36507,4,1617,8,AUD,213.36,463.92
